ID,Text,Date,Score,No. Comments,Author
92hxyy,[AIRDROP][BOUNTY]Want to get free tokens listed in exchange??? 365 quotas limited,1532737933.0,1,0,oosfnv
92i9yt,Best staking pool?,1532740923.0,0,8,acatspit
92ine0,[AIRDROP][BOUNTY]Want to get free tokens listed in exchange??? 365 quotas limited,1532744416.0,1,0,qmhpex
92it4g,[AIRDROP][BOUNTY]Want to get free tokens listed in exchange??? 365 quotas limited,1532745928.0,1,0,xptpdf
92itcj,[AIRDROP][BOUNTY]Want to get free tokens listed in exchange??? 365 quotas limited,1532745993.0,1,0,fnrttl
92j4c9,[AIRDROP][BOUNTY]Want to get free tokens listed in exchange??? 365 quotas limited,1532748904.0,1,0,ambvkk
92j5pt,AgroCognitive Venezuela - kick off meeting to start crop analysis,1532749274.0,4,4,jesccs
92jajk,[AIRDROP][BOUNTY]Want to get free tokens listed in exchange??? 365 quotas limited,1532750631.0,1,0,zhdllx
92jfq0,[AIRDROP][BOUNTY]Want to get free tokens listed in exchange??? 365 quotas limited,1532752081.0,1,0,wsjput
92jpx1,[AIRDROP][BOUNTY]3 DAYS LEFTNova Planet NPT Airdrop Registration Round B STARTTO BE LISTED IN AUGUST!!!,1532754984.0,1,0,saoygm
92jvqt,[AIRDROP][BOUNTY]Want to get free tokens listed in exchange??? 365 quotas limited,1532756767.0,1,0,mqyogy
92jyay,Waves' DEX Rollout Hasn't Been All Rainbows,1532757619.0,5,1,pooja_anoj
92jyiu,Dash one of my Top 7 Crypto Picks for August,1532757675.0,7,1,BitBoyAndHodl
92k2oj,[AIRDROP][BOUNTY]3 DAYS LEFTNova Planet NPT Airdrop Registration Round B STARTTO BE LISTED IN AUGUST!!!,1532758947.0,1,0,gauamq
92kcm7,Dash (DASH) Bags Partnerships Across Industries to Drive Adoption.,1532762330.0,1,0,layuse
92kg26,[AIRDROP][BOUNTY]3 DAYS LEFTNova Planet NPT Airdrop Registration Round B STARTTO BE LISTED IN AUGUST!!!,1532763575.0,1,0,rfznfz
92kske,[AIRDROP][BOUNTY]3 DAYS LEFTNova Planet NPT Airdrop Registration Round B STARTTO BE LISTED IN AUGUST!!!,1532768325.0,1,0,vrrprv
92kslm,[AIRDROP][BOUNTY]Want to get free tokens listed in exchange??? 365 quotas limited,1532768338.0,1,0,wqueeu
92kwdk,[AIRDROP][BOUNTY]3 DAYS LEFTNova Planet NPT Airdrop Registration Round B STARTTO BE LISTED IN AUGUST!!!,1532769778.0,1,0,fwjdqf
92kxb2,German Media covers Dash more than Litecoin and Bitcoin Cash combined!,1532770293.0,47,2,DashEmbassyD-A-CH
92ky83,Subway acceps Dash in Venezuela,1532770478.0,66,10,IrisKarter
92kzuj,"No other crypto has reached this level in Venezuela - Dash, Digital Cash #dash_force",1532771119.0,29,2,_solowhizkid_
92l22f,Traders call it ‘an innovation’ - Dash #dash_force,1532771956.0,6,1,_solowhizkid_
92l317,Fidelity Investments Enters In The Crypto Market Through Dash #dash_force,1532772296.0,23,0,_solowhizkid_
92l40l,DASH serait la crypto-monnaie la plus utilisée au Venezuela - In French,1532772657.0,14,0,_solowhizkid_
92l4h9,[AIRDROP][BOUNTY]Want to get free tokens listed in exchange??? 365 quotas limited,1532772842.0,1,0,vbsnce
92l4nc,[AIRDROP][BOUNTY]Want to get free tokens listed in exchange??? 365 quotas limited,1532772907.0,1,0,xtvnpf
92l67d,[AIRDROP][BOUNTY]3 DAYS LEFTNova Planet NPT Airdrop Registration Round B STARTTO BE LISTED IN AUGUST!!!,1532773508.0,1,0,hnvppx
92l84x,[AIRDROP][BOUNTY]Want to get free tokens listed in exchange??? 365 quotas limited,1532774224.0,1,0,mymqsu
92lbpi,[AIRDROP][BOUNTY]Want to get free tokens listed in exchange??? 365 quotas limited,1532775544.0,1,0,wqueeu
